👷	[107.96875, 205.47209821428572, 223.78050595238096]
✏	[188.47066326530611, 227.67920918367346, 246.19483418367346]
💁🏿‍♀️	[161.34383116883117, 118.56103896103896, 147.15]
👕	[154.15968406593407, 218.60164835164835, 137.76785714285714]
🤷🏻‍♀	[193.64572704081633, 134.2359693877551, 175.42761479591837]
🙎‍♀️	[137.7436755952381, 142.5844494047619, 179.8779761904762]
👁️‍🗨️	[242.3457792207792, 186.56412337662337, 170.23011363636363]
🤸🏾	[215.54942602040816, 225.50988520408163, 234.94132653061226]
🚏	[216.22857142857143, 205.42559523809524, 182.31964285714287]
👩‍👩‍👧‍👦	[109.19005102040816, 136.0876913265306, 174.54049744897958]
⚔️	[212.78147122191444, 217.25761772853187, 210.32963988919667]
👨🏼‍🤝‍👨🏽	[188.97629310344828, 199.1560960591133, 186.79248768472905]
🐆	[166.58333333333334, 225.11047254150702, 241.49744572158366]
🇹🇭	[142.52, 121.10296296296296, 190.82333333333332]
🏢	[217.921875, 204.95695153061226, 187.3829719387755]
🛀🏼	[226.09438775510205, 230.68664965986395, 230.468962585034]
☣️	[81.77455357142857, 216.6358418367347, 222.43239795918367]
👨🏼‍🦲	[186.2063679245283, 211.3628144654088, 190.75393081761007]
🙌🏽	[180.6594155844156, 197.87305194805194, 214.38246753246753]
🛷	[156.295, 214.7057142857143, 243.72142857142856]
🇭🇹	[123.88851851851852, 61.91481481481482, 154.8662962962963]
👨🏽‍✈️	[143.98214285714286, 157.66508746355686, 167.21319241982508]
🚶🏼‍♂️	[207.51118881118882, 214.9909090909091, 205.55524475524476]
🤸🏼‍♀	[230.5436862244898, 229.15082908163265, 237.9030612244898]
🧑🏻‍🎨	[169.98788265306123, 181.01307397959184, 186.2484056122449]
📨	[119.19782214156079, 229.92679975801573, 242.25166364186327]
⏱	[194.97214285714287, 193.88464285714286, 193.5125]
🧝🏿‍♂	[177.5029761904762, 183.90104166666666, 163.70349702380952]
🤬	[112.03125996810208, 113.66602870813396, 203.44497607655504]
🛠	[202.27161654135338, 203.7268170426065, 206.76597744360902]
👷🏻‍♂	[146.85230654761904, 217.77901785714286, 230.6532738095238]
🏂🏻	[199.77742346938774, 201.96332908163265, 219.9266581632653]
🙈	[142.23660714285714, 175.72252747252747, 208.4320054945055]
🙅‍♀	[161.15625, 146.88998724489795, 185.86862244897958]
⭐	[162.35873724489795, 241.1482780612245, 247.67251275510205]
🇨🇭	[91.63961352657005, 91.58840579710144, 248.84589371980675]
🤦🏾‍♂	[153.557944606414, 172.08819241982508, 145.9194606413994]
🧑🏽‍🤝‍🧑🏼	[181.36730295566502, 192.18442118226602, 203.15886699507388]
🧑‍🦼	[177.98663324979114, 187.8032581453634, 200.3859649122807]
🤹🏻‍♀	[202.75404312668465, 171.36287061994608, 190.0993935309973]
🙍🏻‍♂️	[171.18744872846597, 190.7977850697293, 164.1251025430681]
♦	[161.0825, 160.6425, 162.435]
👊	[85.81254724111866, 223.56009070294783, 249.82426303854876]
🎖️	[143.125, 191.23988095238096, 213.93154761904762]
🧏🏼‍♂	[174.3118131868132, 200.81936813186815, 199.1875]
👩‍🦱	[131.8578216374269, 133.83260233918128, 172.5142543859649]
👱🏻‍♂	[170.0078125, 227.70386904761904, 203.88244047619048]
🧑‍🚀	[145.5991253644315, 183.8192419825073, 195.54737609329447]
🍾	[221.59739866908652, 235.41107078039929, 232.17120387174833]
👨🏽‍🚒	[100.66508746355684, 137.44169096209913, 217.10204081632654]
🎪	[121.04783163265306, 162.16741071428572, 233.56441326530611]
🇸🇨	[122.85111111111111, 139.46740740740742, 179.8311111111111]
🥄	[247.94642857142858, 247.94642857142858, 247.94642857142858]
🧎🏾‍♂	[205.3004784688995, 208.25215311004786, 201.9913875598086]
😱	[181.4033251231527, 208.91348522167488, 161.27032019704433]
🕺🏿	[195.78665413533835, 196.7420112781955, 195.03618421052633]
🚰	[249.1843112244898, 123.72385204081633, 153.7487244897959]
▫️	[168.71428571428572, 168.18571428571428, 171.33809523809524]
🤽‍♂	[185.60873724489795, 212.83354591836735, 197.49298469387756]
👬🏿	[182.32912561576356, 184.22937192118226, 169.2155172413793]
🥔	[122.20405982905983, 193.2920227920228, 210.97792022792024]
🤽🏻‍♂	[215.6922831632653, 215.08832908163265, 197.25446428571428]
🧍🏾‍♀️	[181.7315051020408, 159.51147959183675, 189.4674744897959]
🕵🏼‍♀	[161.20067713142507, 176.02770083102493, 182.59926131117268]
⛱️	[208.49362244897958, 209.80070153061226, 210.97321428571428]
🍨	[222.4262987012987, 212.77467532467531, 203.3788961038961]
💂‍♀️	[110.22581845238095, 126.65699404761905, 158.73772321428572]
🇳🇵	[173.9398752127056, 147.97107203630176, 218.0249574588769]
👨🏿‍⚕️	[161.90811011904762, 161.92894345238096, 165.14657738095238]
👩🏿‍🦱	[143.18474758324382, 104.60866451843896, 131.43036161833155]
🏊🏼‍♀️	[233.7834928229665, 178.96969696969697, 162.64354066985646]
