🇦🇷	[211.02849927849928, 193.4148629148629, 172.28535353535352]
👨🏼‍💼	[180.99893617021277, 200.3001519756839, 212.6887537993921]
🈹	[100.79123281965848, 112.10485214493961, 233.59641815910038]
🤹	[166.92235949612405, 196.49261143410854, 207.5077519379845]
🙋🏼‍♀	[165.8419553868059, 165.97911722828667, 202.41931656383483]
🧑🏿‍🔧	[154.3644298963448, 141.41571194762685, 138.94980905619204]
🤦🏿‍♂️	[152.67971678467305, 146.5444606413994, 145.1927321949188]
🚶🏻‍♀️	[203.33418131359852, 190.66327474560592, 201.20790934320075]
🤾🏿	[218.98839957035446, 219.9, 221.293447905478]
👳🏽‍♂	[159.1489673550966, 170.06009327115257, 187.10606262491672]
↙️	[194.58819241982508, 175.59683465222824, 152.69960433152852]
💅🏻	[216.97084548104957, 215.4750104123282, 240.0996459808413]
🧑🏼‍🚒	[144.23858114674442, 161.16508746355686, 198.60689990281827]
🖌	[223.2906080799667, 214.55476884631403, 213.36880466472303]
🗡️	[234.67949298325033, 233.51335445903123, 233.00611136260753]
🧑🏽‍🤝‍🧑🏼	[198.64344116601492, 205.0990638701268, 212.45917762768102]
©	[167.77232142857142, 167.77232142857142, 167.76977040816325]
👼🏽	[169.6560559006211, 188.65494676131323, 211.49467613132208]
👨🏻‍🦳	[197.49020618556702, 212.76894329896908, 231.21443298969072]
🧍🏼‍♀️	[187.00233236151604, 193.26384839650146, 194.2930029154519]
🤦🏽‍♂️	[164.94075385256144, 169.07944606413994, 181.25312369845898]
🔇	[158.62586805555554, 157.18793402777777, 188.01128472222223]
🇵🇪	[143.13636363636363, 135.20598845598846, 213.62752525252526]
🕟	[219.435964181591, 218.47396917950854, 217.46293211162015]
👐🏽	[168.03041601255887, 186.6379513343799, 214.03296703296704]
🌠	[157.04216992919618, 168.37421907538527, 146.9301332778009]
🔝	[192.677151799687, 192.677151799687, 192.677151799687]
👩‍🚒	[130.1569484936832, 160.4741253644315, 199.48408649173956]
🧛	[114.16422569027611, 144.3765906362545, 166.11452581032412]
💃🏾	[159.51109139307897, 159.62522182786157, 194.36468500443655]
🧚🏾	[207.44790524237771, 223.76211888572055, 208.24786137310815]
🧝🏾‍♀	[162.76536643026006, 194.7451536643026, 201.43640661938534]
👱🏿	[128.2375, 152.52789473684211, 164.95973684210526]
👮🏽‍♀️	[154.48419085944238, 150.67217591261857, 145.6667145731532]
🧎🏾‍♀️	[187.15018773466832, 175.17772215269088, 188.15550688360452]
🚷	[116.09728395061728, 128.1241975308642, 187.4474074074074]
🌗	[124.71636817992503, 162.90254060807996, 172.05560183256975]
⚓	[222.52811550151975, 221.56035605731654, 221.18399913156753]
🌤️	[209.40829037800688, 237.9434063573883, 247.19179553264604]
👨🏾‍💻	[154.27270501835986, 156.74932680538555, 165.81921664626682]
👈🏼	[191.04927248677248, 210.71990740740742, 234.56415343915344]
🌡️	[226.72407330279052, 224.7533319450229, 240.43586005830903]
🧶	[89.50625137091467, 127.69357315200702, 202.89932002632156]
🖼	[99.38223656809663, 188.58194502290712, 181.8886922115785]
👨🏿‍🦼	[180.21964991530209, 177.40160926030492, 186.23828345567475]
💴	[189.89775093710955, 200.21480633069555, 200.81903373594335]
🙅🏾‍♀	[142.58762886597938, 123.82810398924249, 155.0879650380995]
🦋	[215.25874635568513, 191.44084062196308, 135.35204081632654]
❇	[141.03168202764977, 141.03168202764977, 141.0299539170507]
🏌🏿‍♀	[198.19152706185568, 198.9861469072165, 208.6111469072165]
🤹🏻‍♀️	[187.2678014864541, 196.01150803164708, 205.95684488132343]
👿	[183.29846014492753, 116.66270380434783, 171.34895833333334]
🙎	[147.32431610942248, 204.91398176291793, 229.66686930091186]
👷🏾‍♀	[132.8818396923987, 175.05516119491276, 197.9220644779651]
⏺	[195.99656393169514, 177.64712619741775, 155.5246772178259]
🇧🇶	[173.3932178932179, 153.97402597402598, 142.00829725829726]
🦹🏿	[118.58584052177572, 106.17189143698717, 116.98022301704187]
😺	[140.331156930126, 195.89942726231385, 219.27273768613975]
🙅🏻‍♂	[188.34592111160916, 175.79269385925593, 163.84367996414164]
🆔	[206.9399208663057, 136.7496876301541, 191.0088504789671]
⛑	[144.19502407704655, 146.2612932813575, 209.1196973171291]
🥃	[144.86252955082742, 175.44633569739952, 204.27813238770685]
🤜🏿	[123.84280303030303, 130.0552398989899, 143.5479797979798]
🧝🏻‍♂	[176.5406976744186, 205.04154554263565, 208.78040213178295]
👨🏾‍🤝‍👨🏿	[164.5475905058739, 167.315391992328, 181.27990889474947]
🤠	[123.3596306685367, 177.78237494156147, 205.79850397381955]
🌴	[172.03643392689784, 209.5823570759138, 195.36105904404874]
🇫🇴	[193.8387445887446, 181.85966810966812, 189.81926406926408]
🚴‍♀	[180.21315789473684, 185.3688596491228, 200.4936403508772]
💁🏻‍♂	[192.81611394557822, 187.07706207482994, 185.74808673469389]
⛸	[204.48596014492753, 204.42481884057972, 205.41440217391303]
🤹🏼‍♀	[181.98609446175976, 193.51054902900984, 205.84128506353392]
🙎🏿	[144.1469604863222, 146.90395136778116, 153.35592705167173]
🧑🏻‍🏭	[177.20250242954324, 173.07628765792032, 176.8152332361516]
🍍	[181.68273092369478, 209.94666164658634, 219.1660391566265]
🐘	[183.53614806246387, 185.36321573163679, 184.23438403701562]
🚴‍♀️	[180.21315789473684, 185.3688596491228, 200.4936403508772]
🇨🇬	[108.09397546897547, 159.92496392496392, 176.69751082251082]
🚅	[186.69537414965987, 182.42054421768708, 176.67700680272108]
🍞	[146.5423768939394, 190.93122632575756, 221.515625]
🧱	[114.424942791762, 129.9991990846682, 183.11350114416476]
👨🏼‍🤝‍👨🏿	[170.96499640374012, 175.47698393670584, 189.30112682809877]
👰🏼	[157.5749521072797, 183.7474856321839, 205.1114703065134]
🧜🏽	[207.76019503546098, 203.10649379432624, 207.1346409574468]
👩🏽‍🤝‍👩🏼	[180.83603338242514, 187.68875797741777, 208.66323024054984]
🏄🏽‍♂️	[197.5278983933999, 214.75477637863656, 190.6122448979592]
🙋🏿‍♂️	[146.54045189504373, 135.53984450923227, 131.4050048590865]
👩🏿‍🦯	[221.49583843329253, 214.1747858017136, 218.92631578947368]
⏮	[194.9345064556435, 176.33996251561848, 153.9369012911287]
👃🏽	[170.9549232736573, 188.44645140664963, 215.653452685422]
🏏	[183.28673835125448, 208.34587813620072, 236.27184139784947]
👂🏾	[115.39501569858713, 139.16836734693877, 176.7800235478807]
📱	[75.5498866213152, 78.08371126228269, 72.27191987906274]
👩‍👩‍👧‍👦	[83.10131195335276, 156.85079133694293, 212.1933569346106]
🧟‍♀	[150.07578656462584, 157.26573129251702, 153.25595238095238]
👳🏽	[169.71588089330024, 182.127929418252, 199.31775572098152]
🧙🏻‍♀️	[158.92876376988985, 174.50073439412483, 182.41774785801712]
👉	[155.47767857142858, 222.17559523809524, 250.62615740740742]
🚴🏼‍♀	[187.02620614035087, 185.01217105263157, 199.40953947368422]
🖋	[217.03946272386506, 215.8518325697626, 214.50499791753435]
⬆️	[193.9905247813411, 174.87140774677218, 151.81299458558934]
💇	[166.08710288239007, 210.51577950767935, 229.48674521354934]
🧒	[106.8738425925926, 195.41168981481482, 232.78599537037036]
😣	[131.1454602249063, 210.54706372344856, 243.51926280716367]
👱🏻‍♀️	[174.1511641376115, 203.81315880922043, 221.79196107957836]
🐩	[221.12151187005415, 221.12276134943772, 220.9441899208663]
⚪	[230.88400666389003, 230.88400666389003, 230.88400666389003]
🧍🏻‍♂	[149.1095729013255, 160.07363770250367, 197.71134020618555]
🚁	[196.30452421932628, 195.1831817064175, 217.68797639537743]
👩‍🎓	[99.77366255144032, 149.43004115226339, 173.4795524691358]
🧞‍♂	[218.23711340206185, 211.72053496795766, 179.55475062691556]
🏞️	[184.76926280716367, 192.83538109121199, 148.02873802582258]
✊🏼	[163.42235772357725, 193.63536585365853, 226.89878048780488]
🦸‍♀️	[137.01772287862514, 169.51374865735767, 214.18549946294308]
🏊🏽‍♂️	[212.2770618556701, 215.2352520045819, 220.43170103092783]
👩🏽‍🤝‍👨🏼	[177.48309757851834, 183.42088228242628, 200.30124670342843]
🤦🏽‍♂	[164.94075385256144, 169.07944606413994, 181.25312369845898]
📕	[92.29271255060729, 94.46842105263158, 187.67773279352227]
🚵🏼‍♂	[151.91152956027773, 158.12444771723122, 158.64653902798233]
🇳🇷	[143.55916305916307, 105.6693722943723, 79.96681096681097]
🤫	[114.01063829787235, 201.44893617021276, 245.0758865248227]
🎎	[170.89251700680273, 167.38117913832198, 183.76530612244898]
🏄🏿	[183.77539929015083, 200.07364685004436, 219.45552351375332]
💅🏿	[185.64962515618492, 177.3551645147855, 196.9293002915452]
🧑🏻‍⚕️	[174.9216362001798, 184.33053640994905, 195.63709919089]
🤦🏾	[151.97427721088437, 161.78645833333334, 177.6122448979592]
🍕	[138.41610824742267, 173.31829896907217, 227.94974226804123]
👨‍👩‍👧‍👦	[96.52155351936693, 156.43148688046648, 198.87619741774262]
🏊‍♂	[203.6921534936999, 229.24255441008017, 235.57288087056128]
🏄🏼‍♂️	[199.47894051237517, 218.09335649153277, 193.59617889709074]
👩‍🏭	[141.29291716686674, 161.0405762304922, 171.96698679471788]
🧔🏻	[131.93086734693878, 143.68864795918367, 158.97244897959183]
👮🏼‍♀	[163.71342339752803, 162.92972118424834, 157.65162402989364]
👫🏿	[164.7254854950851, 163.47854231599138, 172.74682330376407]
🤹🏾‍♀	[166.23064013426037, 174.4754255574203, 186.67753536322226]
♐	[200.23979591836735, 117.73667221990837, 181.40201999167013]
👷🏿‍♀	[130.78645371191956, 167.8636498077492, 183.47175391895888]
🇬🇳	[106.8510101010101, 154.79996392496392, 176.67622655122656]
🤷🏽‍♂️	[187.18993506493507, 178.13763914656772, 170.96903988868274]
🕐	[219.40191586838816, 218.43846314035818, 217.4223240316535]
👩🏻	[120.06282216494846, 129.92719072164948, 143.0677620274914]
⬆	[149.19936228363196, 149.19936228363196, 149.19875493471]
🙎🏾‍♂️	[142.17355747387552, 141.77101317582918, 150.29047402695744]
✊🏻	[187.93021680216802, 214.13428184281844, 243.65663956639565]
💇🏼	[194.91794656006732, 212.03923837576266, 223.7274353040185]
✴️	[74.1192211578509, 180.5298833819242, 251.37911286963765]
⏱️	[220.85495626822157, 219.4448146605581, 219.16690962099125]
👩🏽‍🔬	[145.42572156196945, 163.25608375778154, 177.35073571024336]
🇬🇺	[158.19137806637806, 119.15223665223665, 89.29797979797979]
🧙🏿‍♀️	[148.31627906976743, 160.93586291309668, 165.86156670746635]
🧑🏾‍🦯	[224.4452876376989, 222.49926560587517, 224.51958384332926]
🧔	[96.52002551020408, 188.252806122449, 228.3878826530612]
✅	[66.37880049979175, 198.0354019158684, 61.34745939192003]
👸🏾	[106.18091309913241, 131.231688237804, 152.73616839709857]
🖕🏼	[190.5920556107249, 210.7775571002979, 234.85342601787488]
🧛‍♂	[111.88727490996399, 149.31296518607442, 177.69567827130854]
➗	[189.21873873873875, 189.21873873873875, 189.21873873873875]
🗜	[208.8255935027072, 206.08621407746773, 200.54550187421907]
🤹🏻	[189.14571078431374, 197.26139705882352, 203.7139705882353]
🐡	[156.01375831231368, 196.96388443017656, 222.15512497133685]
👋🏿	[154.7624658110667, 159.13275825794236, 168.80201977698295]
🧎	[195.7625156445557, 211.80569461827284, 218.91113892365456]
🙎🏾‍♂	[142.17355747387552, 141.77101317582918, 150.29047402695744]
🏄‍♂	[195.55449413808077, 218.45267042987408, 194.284737299175]
👩🏼‍🚒	[143.03255587949465, 160.3228862973761, 197.39589407191448]
👷🏽‍♀	[140.29547471162377, 183.24889086069211, 206.80360839988168]
💇🏼‍♀️	[167.83090379008746, 182.55841316118284, 208.27082465639316]
🚣🏻‍♂	[182.09975369458127, 190.2612596762843, 231.31914144968331]
👥	[196.9240506329114, 175.8878842676311, 149.88633428054766]
✍🏾	[153.0640681003584, 166.6396729390681, 187.77710573476702]
🍖	[171.3154935443565, 185.9582465639317, 221.65556018325697]
🧚🏿	[206.88949196699957, 221.3598567086409, 203.03886235345203]
🙍🏼‍♀	[154.93268522610106, 167.18058624245103, 201.6161437619679]
🐯	[86.82220588235295, 177.1729411764706, 199.3114705882353]
🇺🇲	[160.4078282828283, 144.1874098124098, 187.870670995671]
